Tract_ID,P2010,None,Baseline_only,Baseline,Elev,LC,RZ,Soil,SPI,Tree,Static,Static_reduced,Dynamic,Dynamic_reduced,Full,Full_reduced
48209010303,6569,0.03601517,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48209010304,5233,0.03418436,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48209010400,7934,0.123423064,0.123423064,0.123423064,0.226989663,0.378799531,0.18360674,0.130024563,0.103277483,0.232307634,0.385079391,0.428578005,0.121275393,0.166019,0.34605375,0.30865632
48209010500,3453,0.171290603,0.171290603,0.171290603,0.258203489,0.464603948,0.206157596,0.156549097,0.177730821,0.226993553,0.421049882,0.464515375,0.207725547,0.215547673,0.380597083,0.36003517
48209010600,9265,0.04866147,0.04866147,0,0,0,0,0,0,0,0,0,0,0,0,0
48209010701,7234,0.046387101,0.046387101,0,0,0,0,0,0,0,0,0,0,0,0,0
48209010702,2991,0.055605028,0.055605028,0,0,0,0,0,0,0,0,0,0,0,0,0
48209010803,4478,0.066366597,0.066366597,0,0,0,0,0,0,0,0,0,0,0,0,0
48209010804,8985,0.04788575,0.04788575,0,0,0,0,0,0,0,0,0,0,0,0,0
48209010805,5738,0.05699901,0.05699901,0,0,0,0,0,0,0,0,0,0,0,0,0
48209010806,3655,0.050801105,0.050801105,0,0,0,0,0,0,0,0,0,0,0,0,0
48209010807,1962,0.058807027,0.058807027,0,0,0,0,0,0,0,0,0,0,0,0,0
48209010901,7769,0.051887159,0.051887159,0,0,0,0,0,0,0,0,0,0,0,0,0
48209010902,10095,0.050688777,0.050688777,0,0,0,0,0,0,0,0,0,0,0,0,0
48209010905,5639,0.050688777,0.050688777,0,0,0,0,0,0,0,0,0,0,0,0,0
48209010906,11434,0.035600513,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48209010907,10854,0.048374197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48209010908,7256,0.046756734,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48209010909,5191,0.077026633,0.077026633,0,0,0,0,0,0,0,0,0,0,0,0,0
48209010910,7943,0.049358985,0.049358985,0,0,0,0,0,0,0,0,0,0,0,0,0
48239950100,5342,0.197305542,0.197305542,0.197305542,0.108980781,0.326395649,0.298691769,0.245273967,0.30957025,0.34237047,0.365670485,0.369164743,0.291760707,0.27570042,0.350842043,0.348507383
48239950200,3904,0.153144914,0.153144914,0.153144914,0.183178685,0.241350531,0.130667021,0.193288033,0.15915219,0.372210499,0.342752859,0.336285357,0.18553902,0.191596017,0.322303213,0.32641999
48239950300,4829,0.117145237,0,0.117145237,0.132434018,0.201974963,0.193744606,0.22742521,0.232091847,0.362398229,0.353300167,0.322574433,0.249798157,0.203824723,0.31502987,0.284778673
48249950100,8093,0.241497269,0.241497269,0.241497269,0.171476354,0.284183883,0.283215885,0.2402902,0.18080796,0.36300544,0.377896775,0.389063166,0.264701327,0.25837941,0.409215537,0.392296877
48249950200,7932,0.258245003,0.258245003,0.258245003,0.14553268,0.274290713,0.119430617,0.28691398,0.219673797,0.291675949,0.302912438,0.27197747,0.236505123,0.22708323,0.35895295,0.318340183
48249950300,7103,0.198360434,0.198360434,0.198360434,0.23017293,0.29683544,0.118517253,0.145209033,0.280757587,0.35110503,0.399292417,0.393554946,0.28517575,0.238769087,0.44846627,0.401542383
